Vftable,Methods,Flags,Type,Hierarchy
40D58304,16,M,Client::UI::Agent::AgentLetterEdit,"Client::UI::Agent::AgentLetterEdit: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, struct Client::UI::Agent::AgentInventoryContext::InventoryContextEvent;"
40D5834C,16,,Client::UI::Agent::AgentLetterView,"Client::UI::Agent::AgentLetterView: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58390,2,M,Client::UI::Agent::AgentLinkshell,Client::UI::Agent::AgentContext::AgentContextUpdateChecker: 
40D5839C,16,M,Client::UI::Agent::AgentLinkshell,"Client::UI::Agent::AgentLinkshell: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::UI::Agent::AgentContext::AgentContextUpdateChecker;"
40D583E4,17,,Client::UI::Agent::AgentPartyInvite,"Client::UI::Agent::AgentPartyInvite: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5842C,2,M,Client::UI::Agent::AgentPartyMember,Client::UI::Agent::AgentContext::AgentContextUpdateChecker: 
40D5843C,16,M,Client::UI::Agent::AgentPartyMember,"Client::UI::Agent::AgentPartyMember: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::UI::Agent::AgentContext::AgentContextUpdateChecker;"
40D58480,2,M,Client::UI::Agent::AgentSearch,Client::UI::Agent::AgentContext::AgentContextUpdateChecker: 
40D5848C,16,M,Client::UI::Agent::AgentSearch,"Client::UI::Agent::AgentSearch: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::UI::Agent::AgentContext::AgentContextUpdateChecker;"
40D584D0,2,M,Client::UI::Agent::AgentFreeCompany,Client::UI::Info::InfoEventHandlerInterface: 
40D584DC,2,M,Client::UI::Agent::AgentFreeCompany,Client::UI::Agent::AgentContext::AgentContextUpdateChecker: Client::UI::Info::InfoEventHandlerInterface;
40D584EC,16,M,Client::UI::Agent::AgentFreeCompany,"Client::UI::Agent::AgentFreeCompany: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::UI::Agent::AgentContext::AgentContextUpdateChecker, Client::UI::Info::InfoEventHandlerInterface;"
40D58534,16,,Client::UI::Agent::AgentFreeCompanyOrganizeSheet,"Client::UI::Agent::AgentFreeCompanyOrganizeSheet: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5857C,16,,Client::UI::Agent::AgentFreeCompanyPetition,"Client::UI::Agent::AgentFreeCompanyPetition: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D585C4,16,,Client::UI::Agent::AgentFreeCompanyProfile,"Client::UI::Agent::AgentFreeCompanyProfile: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5860C,17,,Client::UI::Agent::AgentFreeCompanyInvite,"Client::UI::Agent::AgentFreeCompanyInvite: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58654,16,,Client::UI::Agent::AgentFreeCompanyInputString,"Client::UI::Agent::AgentFreeCompanyInputString: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58698,2,M,Client::UI::Agent::AgentFreeCompanyChest,Client::UI::Info::InfoEventHandlerInterface: 
40D586A4,3,M,Client::UI::Agent::AgentFreeCompanyChest,struct Client::UI::Agent::AgentInventoryContext::InventoryContextEvent: Client::UI::Info::InfoEventHandlerInterface;
40D586B4,16,M,Client::UI::Agent::AgentFreeCompanyChest,"Client::UI::Agent::AgentFreeCompanyChest: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, struct Client::UI::Agent::AgentInventoryContext::InventoryContextEvent, Client::UI::Info::InfoEventHandlerInterface;"
40D586F8,2,M,Client::UI::Agent::AgentFreeCompanyExchange,Client::UI::Info::InfoEventHandlerInterface: 
40D58704,16,M,Client::UI::Agent::AgentFreeCompanyExchange,"Client::UI::Agent::AgentFreeCompanyExchange: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::UI::Info::InfoEventHandlerInterface;"
40D5874C,16,,Client::UI::Agent::AgentFreeCompanyProfileEdit,"Client::UI::Agent::AgentFreeCompanyProfileEdit: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58790,2,M,Client::UI::Agent::AgentFreeCompanyCrestEditor,Client::UI::Info::InfoEventHandlerInterface: 
40D5879C,16,M,Client::UI::Agent::AgentFreeCompanyCrestEditor,"Client::UI::Agent::AgentFreeCompanyCrestEditor: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::UI::Info::InfoEventHandlerInterface;"
40D587E0,2,M,Client::UI::Agent::AgentFreeCompanyCrestDecal,Client::UI::Info::InfoEventHandlerInterface: 
40D587EC,16,M,Client::UI::Agent::AgentFreeCompanyCrestDecal,"Client::UI::Agent::AgentFreeCompanyCrestDecal: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::UI::Info::InfoEventHandlerInterface;"
40D58830,2,M,Client::UI::Agent::AgentLookingForGroup,Component::Text::TextChecker::ExecNonMacroFunc: 
40D5883C,16,M,Client::UI::Agent::AgentLookingForGroup,"Client::UI::Agent::AgentLookingForGroup: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Component::Text::TextChecker::ExecNonMacroFunc;"
40D58884,16,,Client::UI::Agent::AgentReadyCheck,"Client::UI::Agent::AgentReadyCheck: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D588CC,16,,Client::UI::Agent::AgentCharaMake,"Client::UI::Agent::AgentCharaMake: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58914,16,,Client::UI::Agent::AgentLicenseViewer,"Client::UI::Agent::AgentLicenseViewer: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5895C,16,,Client::UI::Agent::AgentSupportMain,"Client::UI::Agent::AgentSupportMain: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D589A4,17,,Client::UI::Agent::AgentSupportSubList,"Client::UI::Agent::AgentSupportSubList: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D589EC,17,,Client::UI::Agent::AgentSupportSubView,"Client::UI::Agent::AgentSupportSubView: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58A34,20,,Client::UI::Agent::AgentSupportSubEdit,"Client::UI::Agent::AgentSupportSubEdit: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58A8C,16,,Client::UI::Agent::AgentCreditPlayer,"Client::UI::Agent::AgentCreditPlayer: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58AD4,16,,Client::UI::Agent::AgentCreditScroll,"Client::UI::Agent::AgentCreditScroll: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58B1C,16,,Client::UI::Agent::AgentCreditCast,"Client::UI::Agent::AgentCreditCast: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58B64,16,,Client::UI::Agent::AgentCreditEnd,"Client::UI::Agent::AgentCreditEnd: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58BAC,16,,Client::UI::Agent::AgentMiniGame,"Client::UI::Agent::AgentMiniGame: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58BF0,11,,Client::System::Configuration::CharamakeAvatarSaveDataContainer::VariableContainer,Client::System::Configuration::CharamakeAvatarSaveDataContainer::VariableContainer: Client::System::Configuration::CharamakeAvatarSaveDataContainer::ContainerInterface;
40D58C20,2,M,Client::UI::Agent::AgentHowTo,Common::Configuration::ConfigBase::ChangeEventInterface: 
40D58C2C,16,M,Client::UI::Agent::AgentHowTo,"Client::UI::Agent::AgentHowTo: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Common::Configuration::ConfigBase::ChangeEventInterface;"
40D58C70,2,M,Client::UI::Agent::AgentRecipeNote,Client::Game::UI::GameEventCallback: 
40D58C7C,16,M,Client::UI::Agent::AgentRecipeNote,"Client::UI::Agent::AgentRecipeNote: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::Game::UI::GameEventCallback;"
40D58CC4,22,,Client::UI::Agent::AgentMinionMountBase,"Client::UI::Agent::AgentMinionMountBase: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58D24,22,,Client::UI::Agent::AgentMinionNoteBook,"Client::UI::Agent::AgentMinionNoteBook: Client::UI::Agent::AgentMinionMountBase, Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58D84,22,,Client::UI::Agent::AgentMountNoteBook,"Client::UI::Agent::AgentMountNoteBook: Client::UI::Agent::AgentMinionMountBase, Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58DE4,39,,Client::UI::Agent::LobbyUIClient,Client::UI::Agent::LobbyUIClient: Application::Network::LobbyClient::LobbyRequestCallback;
40D58E84,16,,Client::UI::Agent::AgentMonsterNote,"Client::UI::Agent::AgentMonsterNote: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58ECC,16,,Client::UI::Agent::AgentRepair,"Client::UI::Agent::AgentRepair: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58F14,16,,Client::UI::Agent::AgentScreenLog,"Client::UI::Agent::AgentScreenLog: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58F5C,16,,Client::UI::Agent::AgentMaterialize,"Client::UI::Agent::AgentMaterialize: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58FA4,16,,Client::UI::Agent::AgentMateriaAttach,"Client::UI::Agent::AgentMateriaAttach: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D58FEC,16,,Client::UI::Agent::AgentMiragePrism,"Client::UI::Agent::AgentMiragePrism: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D59034,16,,Client::UI::Agent::AgentColorant,"Client::UI::Agent::AgentColorant: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5907C,16,,Client::UI::Agent::AgentBait,"Client::UI::Agent::AgentBait: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D590C4,16,,Client::UI::Agent::AgentHousingTravellersNote,"Client::UI::Agent::AgentHousingTravellersNote: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5910C,16,,Client::UI::Agent::AgentContentsNote,"Client::UI::Agent::AgentContentsNote: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D59154,16,,Client::UI::Agent::AgentAchievement,"Client::UI::Agent::AgentAchievement: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5919C,16,,Client::UI::Agent::AgentMacro,"Client::UI::Agent::AgentMacro: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D591E4,16,,Client::UI::Agent::AgentMap,"Client::UI::Agent::AgentMap: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5927C,2,M,Client::UI::Agent::AgentConfigKey,Client::UI::UIInputData::KeyLoadInterface: 
40D5928C,16,M,Client::UI::Agent::AgentConfigKey,"Client::UI::Agent::AgentConfigKey: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Client::UI::UIInputData::KeyLoadInterface;"
40D592D4,16,,Client::UI::Agent::AgentActionMenu,"Client::UI::Agent::AgentActionMenu: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5931C,16,,Client::UI::Agent::AgentContentsFinder,"Client::UI::Agent::AgentContentsFinder: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D59360,2,M,Client::UI::Agent::AgentHUD,Common::Configuration::ConfigBase::ChangeEventInterface: 
40D5936C,16,M,Client::UI::Agent::AgentHUD,"Client::UI::Agent::AgentHUD: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Common::Configuration::ConfigBase::ChangeEventInterface;"
40D593B4,16,,Client::UI::Agent::AgentItemDetailBase,"Client::UI::Agent::AgentItemDetailBase: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D593FC,16,,Client::UI::Agent::AgentItemDetail,"Client::UI::Agent::AgentItemDetail: Client::UI::Agent::AgentItemDetailBase, Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D59444,16,,Client::UI::Agent::AgentItemComp,"Client::UI::Agent::AgentItemComp: Client::UI::Agent::AgentItemDetailBase, Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5948C,16,,Client::UI::Agent::AgentReturn,"Client::UI::Agent::AgentReturn: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D594D4,16,,Client::UI::Agent::AgentTeleport,"Client::UI::Agent::AgentTeleport: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5951C,47,,Client::UI::Agent::AgentCharaMakeBase,"Client::UI::Agent::AgentCharaMakeBase: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D595DC,47,,Client::UI::Agent::AgentCreate,"Client::UI::Agent::AgentCreate: Client::UI::Agent::AgentCharaMakeBase, Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5969C,2,M,Client::UI::Agent::AgentLobby,Application::Network::ZoneLoginCallbackInterface: 
40D596A8,2,M,Client::UI::Agent::AgentLobby,Application::Network::LogoutCallbackInterface: Application::Network::ZoneLoginCallbackInterface;
40D596B4,2,M,Client::UI::Agent::AgentLobby,"Component::GUI::AtkMessageBoxManager::AtkMessageBoxEvent: Application::Network::LogoutCallbackInterface, Application::Network::ZoneLoginCallbackInterface;"
40D596C4,16,M,Client::UI::Agent::AgentLobby,"Client::UI::Agent::AgentLobby: Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface, Component::GUI::AtkMessageBoxManager::AtkMessageBoxEvent, Application::Network::LogoutCallbackInterface, Application::Network::ZoneLoginCallbackInterface;"
40D5970C,47,,Client::UI::Agent::AgentRetainerCharaMake,"Client::UI::Agent::AgentRetainerCharaMake: Client::UI::Agent::AgentCharaMakeBase, Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D597CC,47,,Client::UI::Agent::AgentCharaRemake,"Client::UI::Agent::AgentCharaRemake: Client::UI::Agent::AgentCharaMakeBase, Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5988C,47,,Client::UI::Agent::AgentHairMake,"Client::UI::Agent::AgentHairMake: Client::UI::Agent::AgentCharaMakeBase, Client::UI::Agent::AgentInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5A288,11,,Client::Game::FieldMarkerManager,Client::Game::FieldMarkerManager: Client::Graphics::Vfx::VfxDataListenner;
40D5AC9C,22,,Client::Game::HousingTemporaryObject,"Client::Game::HousingTemporaryObject: Client::LayoutEngine::Housing::HousingEventListener, Client::System::Common::NonCopyable;"
40D5ACF8,2,,Client::Game::HousingUIEventListener<Client::Game::HousingTerritory>,Client::Game::HousingUIEventListener<Client::Game::HousingTerritory>: Component::GUI::AtkModuleInterface::AtkEventInterface;
40D5AD04,2,,Client::Game::HousingUIEventListener<Client::Game::IndoorTerritory>,Client::Game::HousingUIEventListener<Client::Game::IndoorTerritory>: Component::GUI::AtkModuleInterface::AtkEventInterface;
40D5AD10,2,,Client::Game::CallbackSheetWaiter<Client::Game::HousingTerritory>,"Client::Game::CallbackSheetWaiter<Client::Game::HousingTerritory>: Client::Game::SheetWaiterBase, Common::Component::Excel::ExcelSheetWaiter;"
40D5AD1C,2,,Client::Game::CallbackSheetWaiter<Client::Game::IndoorTerritory>,"Client::Game::CallbackSheetWaiter<Client::Game::IndoorTerritory>: Client::Game::SheetWaiterBase, Common::Component::Excel::ExcelSheetWaiter;"
40D5AD28,2,,Client::Game::HousingTerritory::HousingTerritoryUIEventListener,"Client::Game::HousingTerritory::HousingTerritoryUIEventListener: Client::Game::HousingUIEventListener<Client::Game::HousingTerritory>, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5AD34,2,,Client::Game::IndoorTerritory::IndoorTerritoryUIEventListener,"Client::Game::IndoorTerritory::IndoorTerritoryUIEventListener: Client::Game::HousingUIEventListener<Client::Game::IndoorTerritory>, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D5AD44,2,,Client::Game::HousingSheetWaiter<Client::Game::HousingTerritory>,"Client::Game::HousingSheetWaiter<Client::Game::HousingTerritory>: Client::Game::CallbackSheetWaiter<Client::Game::HousingTerritory>, Client::Game::SheetWaiterBase, Common::Component::Excel::ExcelSheetWaiter;"
40D5AD50,2,,Client::Game::HousingSheetWaiter<Client::Game::IndoorTerritory>,"Client::Game::HousingSheetWaiter<Client::Game::IndoorTerritory>: Client::Game::CallbackSheetWaiter<Client::Game::IndoorTerritory>, Client::Game::SheetWaiterBase, Common::Component::Excel::ExcelSheetWaiter;"
40D5AD5C,1,,Client::Game::HouseBuddy,Client::Game::HouseBuddy: 
40D5F9B0,5,,Client::UI::PopupMenu,Client::UI::PopupMenu: Component::GUI::AtkEventListener;
40D5F9C8,3,,Client::UI::LogViewer,Client::UI::LogViewer: Component::GUI::AtkEventListener;
40D5F9D8,3,,Client::UI::PreviewController,Client::UI::PreviewController: Component::GUI::AtkEventListener;
40D5F9EC,67,,Client::UI::AddonCursor,"Client::UI::AddonCursor: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D5FAFC,67,,Client::UI::AddonCursorLocation,"Client::UI::AddonCursorLocation: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D5FC0C,67,,Client::UI::AddonFade,"Client::UI::AddonFade: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D5FD1C,4,,Component::GUI::AtkManagedInterface,Component::GUI::AtkManagedInterface: 
40D5FD30,4,M,Client::UI::AddonDialogue,Component::GUI::AtkManagedInterface: 
40D5FD44,67,M,Client::UI::AddonDialogue,"Client::UI::AddonDialogue: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener, Component::GUI::AtkManagedInterface;"
40D5FE54,67,,Client::UI::AddonDragDrop,"Client::UI::AddonDragDrop: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D5FF64,4,M,Client::UI::AddonFilter,Component::GUI::AtkManagedInterface: 
40D5FF7C,67,M,Client::UI::AddonFilter,"Client::UI::AddonFilter: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener, Component::GUI::AtkManagedInterface;"
40D6008C,4,M,Client::UI::AddonOperationGuide,Component::GUI::AtkManagedInterface: 
40D600A4,67,M,Client::UI::AddonOperationGuide,"Client::UI::AddonOperationGuide: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener, Component::GUI::AtkManagedInterface;"
40D601B4,67,,Client::UI::AddonNowLoading,"Client::UI::AddonNowLoading: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D602C4,4,M,Client::UI::AddonScreenFrame,Component::GUI::AtkManagedInterface: 
40D602DC,67,M,Client::UI::AddonScreenFrame,"Client::UI::AddonScreenFrame: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener, Component::GUI::AtkManagedInterface;"
40D603EC,67,,Client::UI::AddonYesNo,"Client::UI::AddonYesNo: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D604FC,67,,Client::UI::AddonSelectOk,"Client::UI::AddonSelectOk: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D6060C,67,,Client::UI::AddonSelectYesNoCount,"Client::UI::AddonSelectYesNoCount: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D6071C,68,,Client::UI::AddonContextMenu,"Client::UI::AddonContextMenu: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D60834,68,,Client::UI::AddonContextMenuTitle,"Client::UI::AddonContextMenuTitle: Client::UI::AddonContextMenu, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D6094C,67,,Client::UI::AddonSelectString,"Client::UI::AddonSelectString: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D60A5C,67,,Client::UI::AddonListGrid,"Client::UI::AddonListGrid: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D60B6C,67,,Client::UI::AddonListIcon,"Client::UI::AddonListIcon: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D60C7C,67,,Client::UI::AddonSelectIconString,"Client::UI::AddonSelectIconString: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D60D8C,4,M,Client::UI::AddonToolTipS,Component::GUI::AtkManagedInterface: 
40D60DA4,67,M,Client::UI::AddonToolTipS,"Client::UI::AddonToolTipS: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener, Component::GUI::AtkManagedInterface;"
40D60EB4,67,,Client::UI::AddonInputNumeric,"Client::UI::AddonInputNumeric: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D60FC4,67,,Client::UI::AddonInputString,"Client::UI::AddonInputString: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D610D4,67,,Client::UI::AddonListColorChooser,"Client::UI::AddonListColorChooser: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D611E4,67,,Client::UI::AddonContextIconMenu,"Client::UI::AddonContextIconMenu: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D612F4,67,,Client::UI::AddonSelectOkTitle,"Client::UI::AddonSelectOkTitle: Client::UI::AddonSelectOk, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61404,67,,Client::UI::AddonCreditCast,"Client::UI::AddonCreditCast: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61514,67,,Client::UI::AddonCreditEnd,"Client::UI::AddonCreditEnd: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61624,67,,Client::UI::AddonHud,"Client::UI::AddonHud: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61734,67,,Client::UI::AddonHudTargetInfo,"Client::UI::AddonHudTargetInfo: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61844,67,,Client::UI::AddonTargetCursor,"Client::UI::AddonTargetCursor: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61954,67,,Client::UI::AddonTargetCursorGround,"Client::UI::AddonTargetCursorGround: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61A64,67,,Client::UI::AddonBattleTalk,"Client::UI::AddonBattleTalk: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61B74,72,,Client::UI::AddonScreenInfoChild,"Client::UI::AddonScreenInfoChild: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61C9C,72,,Client::UI::AddonAreaText,"Client::UI::AddonAreaText: Client::UI::AddonScreenInfoChild, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61DCC,72,,Client::UI::AddonPoisonText,"Client::UI::AddonPoisonText: Client::UI::AddonScreenInfoChild, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D61EFC,72,,Client::UI::AddonTextChain,"Client::UI::AddonTextChain: Client::UI::AddonScreenInfoChild, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62024,72,,Client::UI::AddonTextError,"Client::UI::AddonTextError: Client::UI::AddonScreenInfoChild, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D6214C,72,,Client::UI::AddonTextClassChange,"Client::UI::AddonTextClassChange: Client::UI::AddonScreenInfoChild, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D6227C,72,,Client::UI::AddonTextTargetCircle,"Client::UI::AddonTextTargetCircle: Client::UI::AddonScreenInfoChild, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D623A4,71,,Client::UI::AddonMainCommandInterface,"Client::UI::AddonMainCommandInterface: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D624C4,71,,Client::UI::AddonMainCommand,"Client::UI::AddonMainCommand: Client::UI::AddonMainCommandInterface, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D625E4,67,,Client::UI::AddonParameter,"Client::UI::AddonParameter: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D626F4,67,,Client::UI::AddonExp,"Client::UI::AddonExp: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62804,67,,Client::UI::AddonEnemyList,"Client::UI::AddonEnemyList: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62914,67,,Client::UI::AddonBagStatus,"Client::UI::AddonBagStatus: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62A24,67,,Client::UI::AddonMoney,"Client::UI::AddonMoney: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62B34,67,,Client::UI::AddonNotification,"Client::UI::AddonNotification: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62C44,67,,Client::UI::AddonNotificationItem,"Client::UI::AddonNotificationItem: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62D8C,67,,Client::UI::AddonDTR,"Client::UI::AddonDTR: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62E9C,67,,Client::UI::AddonCastBar,"Client::UI::AddonCastBar: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D62FAC,3,,Client::UI::AddonNaviMap::SetTargetRenderer,"Client::UI::AddonNaviMap::SetTargetRenderer: Component::GUI::AtkComponentNodeRenderer, Component::GUI::AtkResourceRendererBase;"
40D62FBC,3,,Client::UI::AddonNaviMap::MaskRenderer,"Client::UI::AddonNaviMap::MaskRenderer: Component::GUI::AtkImageNodeRenderer, Component::GUI::AtkResourceRendererBase;"
40D62FCC,67,,Client::UI::AddonNaviMap,"Client::UI::AddonNaviMap: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D630DC,67,,Client::UI::AddonPartyList,"Client::UI::AddonPartyList: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D631EC,67,,Client::UI::AddonAllianceList,"Client::UI::AddonAllianceList: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D63354,67,,Client::UI::AddonFocusTargetInfo,"Client::UI::AddonFocusTargetInfo: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
